iter	RMSE
324	18559.06713
325	18537.09391
326	18526.69126
327	18516.99738
328	18511.27332
329	18501.6915
330	18492.49872
331	18474.83329
332	18469.57717
333	18444.71702
334	18440.28969
335	18437.90895
336	18429.34199
337	18425.92465
338	18419.7898
339	18393.15746
340	18389.90354
341	18371.82463
342	18367.80046
343	18354.13919
344	18327.02513
345	18322.36411
346	18316.70151
347	18295.06204
348	18286.09013
349	18276.77073
350	18268.61711
351	18250.17045
352	18220.87417
353	18202.52008
354	18191.98305
355	18179.30092
356	18166.37838
357	18164.34794
358	18160.48121
359	18140.33442
360	18133.6425
361	18132.18878
362	18129.78871
363	18127.70845
364	18118.15949
365	18111.69846
366	18103.73895
367	18096.10636
368	18092.75983
369	18070.59127
370	18046.01057
371	18042.79412
372	18041.49004
373	18024.92161
374	18015.04025
375	18007.67883
376	18004.32161
377	18002.40405
378	17980.30621
379	17977.27821
380	17957.9115
381	17955.05126
382	17942.46373
383	17931.10558
384	17920.42913
385	17904.69003
386	17902.21785
387	17894.27977
388	17891.45922
389	17875.91245
390	17863.11074
391	17856.90111
392	17854.21362
393	17830.79745
394	17823.92523
395	17821.77697
396	17814.93263
397	17800.80735
398	17799.25028
399	17779.32857
400	17778.04593
401	17757.84667
402	17740.73075
403	17735.87564
404	17733.30246
405	17720.36857
406	17713.46076
407	17707.7661
408	17694.20867
409	17685.10491
410	17682.45342
411	17679.66068
412	17669.95201
413	17667.12167
414	17646.73523
415	17641.21431
416	17636.93172
417	17625.01139
418	17615.5315
419	17614.06666
420	17601.39564
421	17591.54032
422	17586.75853
423	17585.40466
424	17577.61441
425	17572.87981
426	17565.86943
427	17557.51527
428	17553.43472
429	17542.48988
430	17541.18842
431	17540.27234
432	17535.92365
433	17527.93697
434	17512.36763
435	17507.36833
436	17497.10077
437	17493.96008
438	17484.35952
439	17465.24309
440	17463.1745
441	17452.36125
442	17437.58064
443	17420.00141
444	17417.86933
445	17413.33044
446	17412.34963
447	17404.54634
448	17399.7773
449	17393.07201
450	17390.46354
451	17384.41239
452	17383.60487
453	17381.19009
454	17374.22374
455	17369.1983
456	17358.13843
457	17357.39976
458	17350.71365
459	17348.79142
460	17342.37936
461	17336.90019
462	17312.16739
463	17298.83378
464	17281.36568
465	17267.10378
466	17240.31891
467	17207.10995
468	17202.79141
469	17180.09919
470	17175.20175
471	17170.98049
472	17168.84433
473	17167.72032
474	17153.38847
475	17139.95593
476	17137.74223
477	17135.90099
478	17127.69417
479	17121.47381
480	17114.80313
481	17113.40847
482	17109.35333
483	17097.69912
484	17091.3118
485	17089.43486
486	17076.01504
487	17069.64238
488	17060.69164
489	17059.60013
490	17042.98096
491	17029.6057
492	17004.24605
493	17001.57054
494	17000.37609
495	16988.91807
496	16973.18872
497	16964.24111
498	16950.47224
499	16937.01738
